6	0.0974s	95.1403%	2844	2844
7	0.0675s	94.4328%	3267	3267
8	0.0563s	93.8392%	3428	3428
9	0.0669s	93.1063%	4211	4211
10	0.0698s	92.5587%	4165	4165
11	0.0641s	91.9511%	4839	4839
12	0.0637s	91.3165%	5377	5377
13	0.0682s	90.8453%	5184	5184
14	0.0705s	90.4745%	6007	6007
15	0.0536s	90.1094%	5949	5949
16	0.0625s	89.6793%	6349	6349
17	0.0695s	89.2469%	6606	6606
18	0.0669s	88.8774%	6424	6424
19	0.0873s	88.4870%	6900	6900
20	0.0834s	88.1512%	6703	6703
21	0.0681s	87.7510%	7290	7290
22	0.0748s	87.2509%	8022	8022
23	0.0757s	86.8152%	7673	7673
24	0.0763s	86.3217%	8372	8372
25	0.0802s	85.9300%	7905	7905
26	0.0687s	85.5365%	8233	8233
27	0.0998s	85.2079%	8251	8251
28	0.0756s	84.9721%	7759	7759
29	0.0716s	84.7705%	7918	7918
30	0.0633s	84.6038%	7573	7573
31	0.0824s	84.4407%	7596	7596
32	0.0907s	84.2916%	7541	7541
33	0.0945s	84.1735%	7234	7234
34	0.0684s	84.0677%	7212	7212
35	0.0817s	83.9835%	7031	7031
36	0.0737s	83.9094%	7111	7111
37	0.0734s	83.8423%	7209	7209
38	0.0741s	83.7861%	7054	7054
39	0.0824s	83.7285%	7101	7101
40	0.0834s	83.6802%	6929	6929
41	0.0803s	83.6310%	6976	6976
42	0.0891s	83.5817%	6991	6991
43	0.0952s	83.5392%	6840	6840
44	0.0945s	83.4968%	6879	6879
45	0.0846s	83.4599%	6713	6713
46	0.0990s	83.4243%	6721	6721
47	0.0908s	83.3909%	6679	6679
48	0.0960s	83.3637%	6511	6511
49	0.0952s	83.3389%	6498	6498
50	0.0812s	83.3211%	6331	6331
51	0.0895s	83.3075%	6280	6280
52	0.1019s	83.2987%	6187	6187
53	0.0957s	83.2946%	6046	6046
54	0.0899s	83.2943%	5968	5968
55	0.0874s	83.2983%	5834	5834
56	0.0959s	83.3056%	5757	5757
57	0.1106s	83.3147%	5748	5748
58	0.0918s	83.3259%	5704	5704
59	0.0967s	83.3354%	5867	5867
60	0.0952s	83.3453%	5900	5900
61	0.0884s	83.3547%	6380	6380
62	0.0904s	83.3788%	6904	6904
63	0.0930s	83.4128%	6734	6734
64	0.1032s	83.4545%	6690	6690
65	0.1054s	83.4990%	6697	6697
66	0.0838s	83.5479%	6732	6732
67	0.1067s	83.5864%	6727	6727
68	0.1203s	83.6186%	6652	6652
69	0.0956s	83.6457%	6603	6603
70	0.0982s	83.6697%	6419	6419
71	0.1004s	83.6921%	6258	6258
72	0.1109s	83.7135%	6120	6120
73	0.1136s	83.7347%	5975	5975
74	0.0993s	83.7583%	5885	5885
75	0.0984s	83.7830%	5736	5736
76	0.1020s	83.8091%	5601	5601
77	0.1108s	83.8355%	5545	5545
78	0.1082s	83.8636%	5497	5497
79	0.0883s	83.8960%	5713	5713
80	0.1044s	83.9292%	5830	5830
81	0.1012s	83.9598%	5892	5892
82	0.1030s	83.9888%	5958	5958
83	0.0996s	84.0162%	5976	5976
84	0.1015s	84.0423%	5941	5941
85	0.1068s	84.0697%	5768	5768
86	0.1043s	84.0970%	5717	5717
87	0.0950s	84.1242%	5677	5677
88	0.0770s	84.1513%	5595	5595
89	0.1133s	84.1790%	5509	5509
90	0.1012s	84.2070%	5408	5408
91	0.1149s	84.2354%	5372	5372
92	0.1278s	84.2633%	5378	5378
93	0.0961s	84.2919%	5325	5325
94	0.1148s	84.3215%	5402	5402
95	0.1289s	84.3514%	5493	5493
96	0.1118s	84.3810%	5913	5913
97	0.1232s	84.4122%	6760	6760
98	0.1234s	84.4407%	7086	7086
99	0.1289s	84.4576%	7731	7731
100	0.1326s	84.4662%	7801	7801
101	0.1154s	84.4634%	8178	8178
102	0.1132s	84.4513%	8800	8800
103	0.1207s	84.4382%	8619	8619
104	0.1223s	84.4127%	9139	9139
105	0.1239s	84.3829%	8981	8981
106	0.1127s	84.3397%	9212	9212
107	0.1409s	84.2877%	9346	9346
108	0.1205s	84.2362%	9164	9164
109	0.1223s	84.1767%	9753	9753
110	0.1385s	84.1107%	9763	9763
111	0.1292s	84.0353%	10151	10151
112	0.1232s	83.9582%	10682	10682
113	0.1117s	83.8716%	10749	10749
114	0.1026s	83.7728%	11106	11106
115	0.1299s	83.6725%	10927	10927
116	0.1194s	83.5854%	11238	11238
117	0.1252s	83.5092%	11275	11275
118	0.1256s	83.4389%	11148	11148
119	0.1304s	83.3723%	11003	11003
120	0.1205s	83.3085%	10614	10614
121	0.1308s	83.2490%	10760	10760
122	0.1131s	83.1827%	11219	11219
123	0.1289s	83.1136%	11127	11127
124	0.1230s	83.0593%	10865	10865
125	0.1267s	83.0099%	10457	10457
126	0.1250s	82.9634%	10495	10495
127	0.1487s	82.7379%	18175	18175
128	0.1393s	82.6760%	13583	13583
129	0.1315s	82.6759%	11519	11519
130	0.1352s	82.7050%	10351	10351
131	0.1302s	82.7496%	9576	9576
132	0.1457s	82.8030%	9012	9012
133	0.1250s	82.8619%	8574	8574
134	0.1325s	82.9242%	8226	8226
135	0.1420s	82.9888%	7933	7933
136	0.1456s	83.0546%	7718	7718
137	0.1343s	83.1204%	7600	7600
138	0.1255s	83.1864%	7435	7435
139	0.1358s	83.2517%	7322	7322
140	0.1367s	83.3168%	7180	7180
141	0.1310s	83.3825%	7071	7071
142	0.1328s	83.4482%	7023	7023
143	0.1136s	83.5126%	6977	6977
144	0.1294s	83.5747%	6951	6951
145	0.1416s	83.6354%	6927	6927
146	0.1296s	83.6917%	7025	7025
147	0.1358s	83.7469%	6961	6961
148	0.1469s	83.8027%	6852	6852
149	0.1204s	83.8600%	6832	6832
150	0.1468s	83.9169%	6821	6821
151	0.1418s	83.9709%	7083	7083
152	0.1351s	84.0179%	7737	7737
153	0.1487s	84.0615%	8081	8081
154	0.1355s	84.1021%	8347	8347
155	0.1423s	84.1441%	8058	8058
156	0.1276s	84.1867%	7882	7882
157	0.1375s	84.2261%	7893	7893
158	0.1313s	84.2620%	7937	7937
159	0.1299s	84.2913%	8272	8272
160	0.1436s	84.3179%	8313	8313
161	0.1430s	84.3413%	8486	8486
162	0.1332s	84.3629%	8499	8499
163	0.1339s	84.3850%	8379	8379
164	0.1382s	84.4087%	8247	8247
165	0.1519s	84.4322%	8101	8101
166	0.1210s	84.4604%	7850	7850
167	0.1454s	84.4942%	7625	7625
168	0.1563s	84.5289%	7498	7498
169	0.1545s	84.5644%	7392	7392
170	0.1169s	84.5999%	7287	7287
171	0.1437s	84.6354%	7220	7220
172	0.1424s	84.6702%	7192	7192
173	0.1340s	84.7046%	7114	7114
174	0.1419s	84.7386%	7048	7048
175	0.1508s	84.7721%	6962	6962
176	0.1348s	84.8055%	6871	6871
177	0.1338s	84.8388%	6763	6763
178	0.1618s	84.8720%	6672	6672
179	0.1706s	84.9051%	6579	6579
180	0.1396s	84.9381%	6492	6492
181	0.1268s	84.9708%	6422	6422
182	0.1511s	85.0034%	6355	6355
183	0.1549s	85.0357%	6281	6281
184	0.1699s	85.0679%	6214	6214
185	0.1412s	85.0999%	6146	6146
186	0.1482s	85.1314%	6108	6108
187	0.1613s	85.1627%	6087	6087
188	0.1630s	85.1938%	6045	6045
189	0.1290s	85.2245%	6044	6044
190	0.1540s	85.2550%	6009	6009
191	0.1492s	85.2852%	5991	5991
192	0.1760s	85.3155%	5966	5966
193	0.1621s	85.3455%	5936	5936
194	0.1721s	85.3754%	5935	5935
195	0.1730s	85.4049%	5903	5903
196	0.1628s	85.3456%	17170	17170
197	0.1708s	85.3012%	15691	15691
198	0.1524s	85.2628%	14686	14686
199	0.1727s	85.2264%	13954	13954
200	0.1617s	85.1958%	13313	13313
201	0.1678s	85.1705%	12779	12779
202	0.1591s	85.1506%	12350	12350
203	0.1698s	85.1360%	11992	11992
204	0.1805s	85.1257%	11772	11772
205	0.1679s	85.1168%	11406	11406
