121	0.0066s	82.8454%	9829	9829
122	0.0056s	81.3460%	11424	11424
123	0.0062s	80.3055%	11173	11173
124	0.0059s	79.3939%	11461	11461
125	0.0065s	78.7547%	11156	11156
126	0.0060s	78.1475%	11354	11354
127	0.0057s	73.6998%	21368	21368
128	0.0057s	73.4145%	14732	14732
129	0.0059s	73.7703%	12101	12101
130	0.0061s	74.3694%	10642	10642
131	0.0058s	75.0469%	9710	9710
132	0.0060s	75.7313%	9058	9058
133	0.0064s	76.3916%	8578	8578
134	0.0064s	77.0156%	8209	8209
135	0.0066s	77.5999%	7912	7912
136	0.0091s	78.1436%	7701	7701
137	0.0087s	78.6492%	7542	7542
138	0.0077s	79.1196%	7384	7384
139	0.0105s	79.5572%	7283	7283
140	0.0121s	79.9654%	7166	7166
