1	1.0930s	7171	7171
2	1.9183s	7490	7490
3	1.8346s	7629	7629
4	1.9461s	7906	7906
5	1.8904s	8149	8149
6	0.0172s	8342	8342
7	0.0170s	8650	8650
8	0.0185s	8673	8673
9	0.0166s	9106	9106
10	0.0151s	9073	9073
11	0.0118s	9137	9137
12	0.0193s	9306	9306
13	0.0113s	9271	9271
14	0.0138s	9356	9356
15	0.0217s	9341	9341
16	0.0149s	9579	9579
17	0.0175s	9787	9787
18	0.0238s	9724	9724
19	0.0195s	10029	10029
20	0.0151s	10093	10093
21	0.0203s	10752	10752
22	0.0220s	11530	11530
23	0.0170s	11796	11796
24	0.0198s	12658	12658
25	0.0216s	12643	12643
26	0.0191s	12550	12550
27	0.0164s	12178	12178
28	0.0255s	11854	11854
29	0.0167s	11731	11731
30	0.0222s	11544	11544
31	0.0288s	11550	11550
32	0.0191s	11606	11606
33	0.0207s	11509	11509
34	0.0250s	11559	11559
35	0.0227s	11500	11500
36	0.0231s	11523	11523
37	0.0255s	11557	11557
38	0.0260s	11505	11505
39	0.0240s	11521	11521
40	0.0279s	11439	11439
41	0.0228s	11423	11423
42	0.0329s	11404	11404
43	0.0245s	11334	11334
44	0.0232s	11307	11307
45	0.0248s	11231	11231
46	0.0291s	11200	11200
47	0.0270s	11171	11171
48	0.0231s	11101	11101
49	0.0271s	11074	11074
50	0.0241s	11001	11001
51	0.0271s	10958	10958
52	0.0308s	10903	10903
53	0.0286s	10839	10839
54	0.0254s	10802	10802
55	0.0236s	10745	10745
56	0.0233s	10711	10711
57	0.0346s	10697	10697
58	0.0240s	10675	10675
59	0.0298s	10720	10720
60	0.0251s	10729	10729
61	0.0335s	10914	10914
62	0.0267s	11311	11311
63	0.0263s	11410	11410
64	0.0277s	11093	11093
65	0.0385s	10893	10893
66	0.0276s	10660	10660
67	0.0295s	10735	10735
68	0.0353s	10702	10702
69	0.0331s	10714	10714
70	0.0282s	10684	10684
71	0.0263s	10659	10659
72	0.0281s	10641	10641
73	0.0365s	10600	10600
74	0.0270s	10546	10546
75	0.0386s	10487	10487
76	0.0302s	10422	10422
77	0.0316s	10383	10383
78	0.0286s	10330	10330
