6	0.0411s	93.1695%	3835	3835
7	0.0491s	92.6509%	4060	4060
8	0.0470s	92.2457%	4124	4124
9	0.0445s	91.6009%	5038	5038
10	0.0457s	91.1291%	4935	4935
11	0.0461s	90.6542%	5453	5453
12	0.0465s	90.1709%	5983	5983
13	0.0445s	89.7839%	5881	5881
14	0.0443s	89.4173%	6632	6632
15	0.0472s	89.0991%	6647	6647
16	0.0473s	88.7361%	7075	7075
17	0.0506s	88.3473%	7306	7306
18	0.0509s	88.0301%	7124	7124
19	0.0483s	87.6991%	7581	7581
20	0.0433s	87.4224%	7455	7455
21	0.0426s	87.0820%	8025	8025
22	0.0529s	86.6412%	8760	8760
23	0.0492s	86.2617%	8560	8560
24	0.0524s	85.8412%	9399	9399
25	0.0438s	85.4712%	9156	9156
26	0.0469s	85.0821%	9376	9376
27	0.0525s	84.7547%	9092	9092
28	0.0452s	84.5135%	8627	8627
29	0.0485s	84.2939%	8741	8741
30	0.0517s	84.1186%	8443	8443
31	0.0475s	83.9637%	8420	8420
32	0.0569s	83.8221%	8377	8377
33	0.0503s	83.7087%	8116	8116
34	0.0677s	83.6025%	8087	8087
35	0.0529s	83.5142%	7921	7921
36	0.0582s	83.4305%	7965	7965
37	0.0571s	83.3483%	8033	8033
38	0.0593s	83.2767%	7908	7908
39	0.0591s	83.2067%	7946	7946
40	0.0572s	83.1471%	7796	7796
41	0.0542s	83.0883%	7809	7809
42	0.0522s	83.0321%	7811	7811
43	0.0617s	82.9855%	7677	7677
44	0.0574s	82.9416%	7697	7697
45	0.0683s	82.9052%	7559	7559
46	0.0565s	82.8709%	7563	7563
47	0.0653s	82.8397%	7530	7530
48	0.0633s	82.8147%	7392	7392
49	0.0603s	82.7916%	7380	7380
50	0.0558s	82.7752%	7235	7235
51	0.0732s	82.7620%	7185	7185
52	0.0583s	82.7534%	7096	7096
53	0.0584s	82.7500%	6970	6970
54	0.0660s	82.7507%	6896	6896
55	0.0658s	82.7556%	6776	6776
56	0.0693s	82.7643%	6704	6704
57	0.0792s	82.7761%	6688	6688
58	0.0778s	82.7903%	6644	6644
59	0.0904s	82.8034%	6779	6779
60	0.0820s	82.8171%	6802	6802
61	0.0723s	82.8255%	7202	7202
62	0.0642s	82.8353%	7712	7712
63	0.0681s	82.8469%	7741	7741
64	0.0750s	82.8666%	7719	7719
65	0.0678s	82.8762%	7935	7935
66	0.0816s	82.8993%	7960	7960
67	0.0697s	82.9145%	8035	8035
68	0.0657s	82.9279%	7942	7942
69	0.0716s	82.9380%	7887	7887
70	0.0735s	82.9472%	7720	7720
71	0.0845s	82.9563%	7550	7550
72	0.0786s	82.9664%	7412	7412
73	0.0682s	82.9774%	7266	7266
74	0.0787s	82.9904%	7148	7148
75	0.0691s	83.0052%	6992	6992
76	0.0712s	83.0223%	6845	6845
77	0.0697s	83.0412%	6763	6763
78	0.0672s	83.0620%	6690	6690
79	0.0921s	83.0849%	6790	6790
80	0.0738s	83.1082%	6876	6876
81	0.0771s	83.1309%	6995	6995
82	0.0788s	83.1535%	7084	7084
83	0.0826s	83.1819%	6971	6971
84	0.0777s	83.2104%	6927	6927
85	0.0915s	83.2387%	6795	6795
86	0.0812s	83.2661%	6740	6740
87	0.0754s	83.2931%	6691	6691
88	0.0849s	83.3200%	6615	6615
89	0.0778s	83.3467%	6548	6548
90	0.0847s	83.3736%	6463	6463
91	0.0769s	83.4000%	6437	6437
92	0.0771s	83.4253%	6458	6458
93	0.0820s	83.4508%	6411	6411
94	0.0834s	83.4759%	6453	6453
95	0.0870s	83.5002%	6532	6532
96	0.0781s	83.5204%	6951	6951
97	0.0943s	83.5311%	7885	7885
98	0.0801s	83.5331%	8336	8336
99	0.0981s	83.5155%	8934	8934
100	0.0866s	83.4920%	9018	9018
101	0.0853s	83.4629%	9357	9357
102	0.0928s	83.4255%	10029	10029
103	0.0810s	83.3824%	10166	10166
104	0.1038s	83.3320%	10675	10675
105	0.0845s	83.2849%	10493	10493
