6	0.0066s	84.8137%	8205	8205
7	0.0069s	84.5639%	8510	8510
8	0.0066s	84.3621%	8562	8562
9	0.0064s	84.0938%	8925	8925
10	0.0101s	83.8893%	8881	8881
11	0.0083s	83.7016%	8956	8956
12	0.0076s	83.5043%	9171	9171
13	0.0111s	83.3460%	9156	9156
14	0.0063s	83.2094%	9299	9299
15	0.0065s	83.0994%	9333	9333
16	0.0064s	82.9799%	9546	9546
17	0.0064s	82.8386%	9755	9755
18	0.0069s	82.7150%	9691	9691
19	0.0079s	82.5698%	9907	9907
20	0.0079s	82.4328%	9923	9923
21	0.0082s	82.2467%	10376	10376
22	0.0090s	81.9998%	11108	11108
23	0.0086s	81.7435%	11407	11407
24	0.0086s	81.4222%	12362	12362
25	0.0099s	81.1287%	12396	12396
26	0.0106s	80.8652%	12403	12403
27	0.0096s	80.6616%	12078	12078
28	0.0098s	80.5016%	11810	11810
29	0.0103s	80.3570%	11754	11754
30	0.0112s	80.2362%	11597	11597
31	0.0111s	80.1240%	11607	11607
32	0.0120s	80.0194%	11637	11637
33	0.0121s	79.9302%	11535	11535
34	0.0124s	79.8456%	11565	11565
35	0.0123s	79.7708%	11511	11511
36	0.0127s	79.7000%	11526	11526
37	0.0127s	79.6315%	11566	11566
38	0.0158s	79.5708%	11512	11512
39	0.0128s	79.5135%	11523	11523
40	0.0118s	79.4636%	11451	11451
41	0.0132s	79.4173%	11435	11435
42	0.0142s	79.3740%	11424	11424
43	0.0128s	79.3370%	11353	11353
44	0.0118s	79.3025%	11336	11336
45	0.0142s	79.2731%	11267	11267
46	0.0137s	79.2466%	11235	11235
47	0.0117s	79.2227%	11209	11209
48	0.0118s	79.2032%	11142	11142
49	0.0121s	79.1856%	11122	11122
50	0.0126s	79.1721%	11052	11052
51	0.0124s	79.1612%	11011	11011
52	0.0126s	79.1533%	10958	10958
53	0.0127s	79.1486%	10898	10898
54	0.0130s	79.1459%	10860	10860
55	0.0129s	79.1459%	10802	10802
56	0.0159s	79.1477%	10769	10769
57	0.0161s	79.1509%	10748	10748
58	0.0162s	79.1553%	10725	10725
59	0.0168s	79.1589%	10759	10759
60	0.0209s	79.1626%	10764	10764
61	0.0161s	79.1617%	10914	10914
62	0.0170s	79.1506%	11222	11222
63	0.0181s	79.1393%	11255	11255
64	0.0173s	79.1419%	10843	10843
65	0.0188s	79.1389%	10979	10979
66	0.0147s	79.1425%	10833	10833
67	0.0149s	79.1415%	10999	10999
68	0.0179s	79.1405%	10967	10967
69	0.0183s	79.1389%	10966	10966
70	0.0183s	79.1381%	10922	10922
71	0.0185s	79.1381%	10878	10878
72	0.0159s	79.1388%	10846	10846
73	0.0190s	79.1404%	10798	10798
74	0.0160s	79.1434%	10736	10736
75	0.0162s	79.1477%	10671	10671
76	0.0164s	79.1535%	10602	10602
77	0.0197s	79.1600%	10567	10567
78	0.0199s	79.1675%	10514	10514
79	0.0168s	79.1745%	10483	10483
80	0.0202s	79.1806%	10481	10481
81	0.0206s	79.1860%	10483	10483
82	0.0171s	79.1889%	10590	10590
83	0.0212s	79.1950%	10420	10420
84	0.0217s	79.2027%	10380	10380
85	0.0177s	79.2113%	10337	10337
86	0.0214s	79.2196%	10344	10344
87	0.0218s	79.2285%	10324	10324
88	0.0180s	79.2380%	10294	10294
89	0.0220s	79.2479%	10267	10267
90	0.0180s	79.2585%	10222	10222
91	0.0186s	79.2691%	10215	10215
92	0.0187s	79.2796%	10207	10207
93	0.0204s	79.2904%	10177	10177
94	0.0231s	79.3013%	10159	10159
95	0.0239s	79.3116%	10177	10177
96	0.0193s	79.3173%	10432	10432
97	0.0193s	79.3136%	10953	10953
98	0.0253s	79.3027%	11361	11361
99	0.0241s	79.2746%	12183	12183
100	0.0241s	79.2396%	12481	12481
101	0.0242s	79.1941%	12927	12927
102	0.0261s	79.1363%	13441	13441
103	0.0261s	79.0733%	13681	13681
104	0.0255s	78.9986%	14179	14179
