6	0.0060s	84.7648%	8249	8249
7	0.0055s	84.4699%	8620	8620
8	0.0057s	84.2231%	8681	8681
9	0.0059s	83.8980%	9106	9106
10	0.0078s	83.6564%	9027	9027
11	0.0058s	83.4486%	9058	9058
12	0.0061s	83.2471%	9225	9225
13	0.0059s	83.0914%	9188	9188
14	0.0062s	82.9538%	9362	9362
15	0.0069s	82.8438%	9399	9399
16	0.0070s	82.7195%	9676	9676
17	0.0065s	82.5692%	9915	9915
18	0.0073s	82.4323%	9853	9853
19	0.0074s	82.2656%	10051	10051
20	0.0063s	82.1124%	10030	10030
21	0.0096s	81.9136%	10581	10581
22	0.0072s	81.6563%	11411	11411
23	0.0069s	81.3951%	11688	11688
24	0.0098s	81.0714%	12558	12558
25	0.0117s	80.7698%	12590	12590
26	0.0085s	80.4790%	12814	12814
27	0.0091s	80.2401%	12515	12515
28	0.0109s	80.0530%	12128	12128
29	0.0111s	79.8884%	11963	11963
30	0.0112s	79.7524%	11759	11759
31	0.0114s	79.6262%	11760	11760
32	0.0115s	79.5068%	11809	11809
33	0.0114s	79.4054%	11694	11694
34	0.0134s	79.3087%	11746	11746
35	0.0111s	79.2246%	11676	11676
36	0.0099s	79.1457%	11690	11690
37	0.0097s	79.0706%	11718	11718
38	0.0106s	79.0047%	11648	11648
39	0.0101s	78.9425%	11650	11650
40	0.0123s	78.8896%	11551	11551
41	0.0106s	78.8406%	11525	11525
42	0.0104s	78.7952%	11498	11498
43	0.0104s	78.7571%	11407	11407
44	0.0119s	78.7223%	11377	11377
45	0.0136s	78.6936%	11284	11284
46	0.0135s	78.6679%	11244	11244
47	0.0111s	78.6452%	11207	11207
48	0.0112s	78.6276%	11123	11123
49	0.0113s	78.6126%	11092	11092
50	0.0119s	78.6022%	11006	11006
51	0.0116s	78.5947%	10958	10958
52	0.0117s	78.5908%	10891	10891
53	0.0118s	78.5902%	10819	10819
54	0.0120s	78.5920%	10768	10768
55	0.0121s	78.5966%	10700	10700
56	0.0122s	78.6032%	10654	10654
57	0.0123s	78.6114%	10621	10621
58	0.0122s	78.6212%	10586	10586
59	0.0126s	78.6307%	10608	10608
60	0.0162s	78.6408%	10604	10604
61	0.0128s	78.6473%	10765	10765
62	0.0131s	78.6468%	11110	11110
63	0.0131s	78.6492%	11154	11154
64	0.0140s	78.6654%	10869	10869
65	0.0135s	78.6785%	10838	10838
66	0.0136s	78.7008%	10504	10504
67	0.0168s	78.7203%	10663	10663
68	0.0170s	78.7393%	10640	10640
69	0.0140s	78.7570%	10656	10656
70	0.0141s	78.7745%	10620	10620
71	0.0143s	78.7921%	10590	10590
72	0.0145s	78.8095%	10565	10565
73	0.0147s	78.8272%	10515	10515
