121	0.0093s	82.8629%	9743	9743
122	0.0065s	81.2769%	11522	11522
123	0.0067s	80.1899%	11306	11306
124	0.0072s	79.2665%	11500	11500
125	0.0089s	78.6073%	11171	11171
126	0.0104s	77.9835%	11338	11338
127	0.0077s	73.3966%	25430	25430
128	0.0066s	72.9190%	17866	17866
129	0.0071s	73.3242%	14493	14493
130	0.0069s	73.9585%	12541	12541
131	0.0068s	74.6460%	11239	11239
132	0.0065s	75.3262%	10300	10300
133	0.0067s	75.9759%	9592	9592
134	0.0074s	76.5873%	9044	9044
135	0.0065s	77.1595%	8604	8604
136	0.0090s	77.6924%	8266	8266
137	0.0080s	78.1888%	8007	8007
138	0.0072s	78.6521%	7778	7778
139	0.0091s	79.0848%	7594	7594
140	0.0101s	79.4900%	7422	7422
