6	0.0568s	3004	3004
7	0.0530s	3377	3377
8	0.0566s	3415	3415
9	0.0503s	4294	4294
10	0.0555s	4166	4166
11	0.0534s	4788	4788
12	0.0525s	5387	5387
13	0.0493s	5236	5236
14	0.0553s	6106	6106
15	0.0520s	6027	6027
16	0.0537s	6456	6456
17	0.0503s	6695	6695
18	0.0512s	6452	6452
19	0.0486s	7007	7007
20	0.0491s	6864	6864
21	0.0585s	7323	7323
22	0.0498s	7857	7857
23	0.0635s	7454	7454
24	0.0505s	8268	8268
25	0.0539s	7893	7893
26	0.0567s	8268	8268
27	0.0587s	8000	8000
28	0.0541s	7611	7611
29	0.0565s	7820	7820
30	0.0539s	7480	7480
31	0.0556s	7536	7536
32	0.0570s	7491	7491
33	0.0661s	7204	7204
34	0.0684s	7202	7202
35	0.0642s	7023	7023
36	0.0618s	7093	7093
37	0.0622s	7164	7164
38	0.0605s	6996	6996
39	0.0631s	7037	7037
40	0.0622s	6850	6850
41	0.0635s	6884	6884
42	0.0632s	6902	6902
43	0.0628s	6745	6745
44	0.0633s	6785	6785
45	0.0638s	6631	6631
46	0.0641s	6654	6654
47	0.0642s	6625	6625
48	0.0676s	6463	6463
49	0.0666s	6458	6458
50	0.0759s	6295	6295
51	0.0692s	6248	6248
52	0.0693s	6156	6156
53	0.0678s	6015	6015
54	0.0705s	5936	5936
55	0.0700s	5800	5800
56	0.0684s	5721	5721
57	0.0786s	5708	5708
58	0.0721s	5662	5662
59	0.0691s	5819	5819
60	0.0723s	5853	5853
61	0.0720s	6318	6318
62	0.0756s	6800	6800
63	0.0704s	6739	6739
64	0.0722s	6757	6757
65	0.0739s	6821	6821
66	0.0739s	6779	6779
67	0.0718s	6793	6793
68	0.0728s	6755	6755
69	0.0910s	6760	6760
70	0.0784s	6585	6585
71	0.0787s	6424	6424
72	0.0773s	6286	6286
73	0.0798s	6131	6131
74	0.0814s	6039	6039
75	0.0799s	5867	5867
76	0.0793s	5722	5722
77	0.0796s	5661	5661
78	0.0815s	5606	5606
79	0.0825s	5767	5767
80	0.0798s	5826	5826
81	0.0789s	5861	5861
82	0.0813s	6075	6075
83	0.0885s	6059	6059
84	0.0947s	5925	5925
85	0.0827s	5755	5755
86	0.0859s	5720	5720
87	0.0881s	5672	5672
88	0.0899s	5589	5589
89	0.0945s	5500	5500
90	0.0947s	5406	5406
91	0.0865s	5373	5373
92	0.0855s	5391	5391
93	0.0866s	5347	5347
94	0.0864s	5467	5467
95	0.0895s	5620	5620
96	0.0938s	6180	6180
97	0.0962s	7354	7354
98	0.0927s	7732	7732
99	0.0942s	7861	7861
100	0.1006s	7842	7842
101	0.0908s	8188	8188
102	0.0892s	8722	8722
103	0.0977s	8666	8666
104	0.0890s	9089	9089
105	0.0890s	8872	8872
106	0.0919s	9110	9110
107	0.0841s	9488	9488
108	0.0886s	9464	9464
109	0.0788s	9964	9964
110	0.1015s	9820	9820
111	0.0945s	10012	10012
112	0.0990s	10490	10490
113	0.1054s	10510	10510
114	0.0949s	10968	10968
115	0.1017s	10837	10837
116	0.0981s	11249	11249
117	0.1082s	11528	11528
118	0.1076s	11462	11462
119	0.1020s	11382	11382
120	0.0973s	10955	10955
121	0.1008s	11010	11010
122	0.1059s	11367	11367
123	0.1292s	11137	11137
124	0.0990s	10867	10867
125	0.0982s	10459	10459
126	0.1079s	10540	10540
127	180.0658s	6333	19008
128	0.0965s	6193	6193
129	0.0845s	6137	6137
130	0.0959s	6102	6102
131	0.0974s	6075	6075
132	0.0994s	6054	6054
133	0.0939s	6034	6034
134	0.0946s	6019	6019
135	0.1017s	6009	6009
136	0.0986s	6042	6042
137	0.0973s	6111	6111
138	0.1085s	6133	6133
139	0.1199s	6188	6188
140	0.1304s	6191	6191
141	0.1184s	6223	6223
142	0.1040s	6267	6267
143	0.1045s	6298	6298
144	0.1073s	6364	6364
145	0.1044s	6460	6460
146	0.1162s	6709	6709
147	0.1035s	6748	6748
148	0.0988s	6780	6780
149	0.1084s	6909	6909
150	0.1159s	6975	6975
151	0.1232s	7154	7154
152	0.1054s	7610	7610
153	0.1057s	8084	8084
154	0.1100s	8703	8703
155	0.1063s	8644	8644
156	0.1007s	8518	8518
157	0.1121s	8468	8468
158	0.1189s	8523	8523
159	0.1099s	8723	8723
160	0.1084s	8742	8742
161	0.1203s	8764	8764
162	0.1248s	8809	8809
163	0.1119s	8782	8782
164	0.1319s	8741	8741
165	0.1235s	8701	8701
166	0.1169s	8423	8423
167	0.1141s	8180	8180
168	0.1184s	8118	8118
169	0.1161s	8037	8037
170	0.1127s	7975	7975
171	0.1291s	7916	7916
172	0.1262s	7895	7895
173	0.1274s	7862	7862
174	0.1266s	7830	7830
175	0.1260s	7794	7794
176	0.1318s	7757	7757
177	0.1200s	7717	7717
178	0.1183s	7683	7683
179	0.1233s	7639	7639
180	0.1076s	7596	7596
181	0.1184s	7560	7560
182	0.1081s	7527	7527
183	0.1149s	7496	7496
184	0.1199s	7484	7484
185	0.1311s	7462	7462
186	0.1120s	7453	7453
187	0.1368s	7450	7450
188	0.1370s	7422	7422
189	0.1314s	7415	7415
190	0.1233s	7398	7398
191	0.1306s	7392	7392
192	0.1249s	7379	7379
193	0.1246s	7367	7367
194	0.1195s	7366	7366
195	0.1621s	7354	7354
196	180.5255s	11691	17364
197	0.1315s	11402	11402
198	0.1319s	11223	11223
199	0.1365s	11240	11240
200	0.1228s	11171	11171
201	0.1206s	11082	11082
202	0.1368s	10827	10827
203	0.1265s	10684	10684
204	0.1236s	10652	10652
205	0.1435s	10527	10527
