6	0.0379s	91.2974%	4917	4917
7	0.0447s	90.8268%	5067	5067
8	0.0397s	90.5149%	5039	5039
9	0.0403s	90.0660%	5664	5664
10	0.0437s	89.7151%	5620	5620
11	0.0358s	89.2996%	6047	6047
12	0.0471s	88.8613%	6513	6513
13	0.0406s	88.5164%	6432	6432
14	0.0380s	88.2466%	7009	7009
15	0.0464s	88.0104%	7087	7087
16	0.0441s	87.7166%	7563	7563
17	0.0345s	87.3865%	7848	7848
18	0.0292s	87.1056%	7666	7666
19	0.0345s	86.7932%	8063	8063
20	0.0523s	86.5184%	8022	8022
21	0.0485s	86.1621%	8764	8764
22	0.0438s	85.7331%	9457	9457
23	0.0390s	85.3701%	9201	9201
24	0.0393s	84.9845%	9778	9778
25	0.0463s	84.6575%	9645	9645
26	0.0361s	84.3150%	10012	10012
27	0.0377s	84.0577%	9708	9708
28	0.0361s	83.8640%	9341	9341
29	0.0410s	83.6815%	9382	9382
30	0.0448s	83.5419%	9081	9081
31	0.0361s	83.4145%	9053	9053
32	0.0388s	83.2929%	9088	9088
33	0.0409s	83.1944%	8893	8893
34	0.0429s	83.1026%	8869	8869
35	0.0448s	83.0275%	8714	8714
36	0.0449s	82.9575%	8704	8704
37	0.0400s	82.8921%	8724	8724
38	0.0436s	82.8379%	8603	8603
39	0.0446s	82.7875%	8605	8605
40	0.0393s	82.7470%	8474	8474
41	0.0491s	82.7091%	8480	8480
42	0.0400s	82.6735%	8488	8488
43	0.0460s	82.6453%	8383	8383
44	0.0517s	82.6189%	8399	8399
45	0.0442s	82.5989%	8290	8290
46	0.0528s	82.5805%	8289	8289
47	0.0557s	82.5648%	8261	8261
48	0.0433s	82.5541%	8146	8146
49	0.0457s	82.5442%	8132	8132
50	0.0856s	82.5392%	8001	8001
51	0.0461s	82.5363%	7947	7947
52	0.0532s	82.5360%	7863	7863
53	0.0446s	82.5390%	7749	7749
54	0.0477s	82.5439%	7670	7670
55	0.0600s	82.5519%	7554	7554
56	0.0553s	82.5614%	7476	7476
57	0.0509s	82.5718%	7437	7437
58	0.0517s	82.5830%	7382	7382
59	0.0463s	82.5910%	7462	7462
60	0.0496s	82.5979%	7468	7468
61	0.0512s	82.5961%	7804	7804
62	0.0475s	82.5848%	8394	8394
63	0.0509s	82.5770%	8464	8464
64	0.0513s	82.5796%	8403	8403
65	0.0523s	82.5747%	8684	8684
66	0.0524s	82.5806%	8531	8531
67	0.0534s	82.5850%	8542	8542
68	0.0584s	82.5881%	8507	8507
69	0.0553s	82.5918%	8507	8507
70	0.0508s	82.5966%	8394	8394
71	0.0550s	82.6024%	8280	8280
72	0.0520s	82.6092%	8195	8195
73	0.0605s	82.6177%	8083	8083
74	0.0500s	82.6294%	7967	7967
75	0.0658s	82.6434%	7814	7814
76	0.0611s	82.6593%	7673	7673
77	0.0551s	82.6759%	7602	7602
78	0.0747s	82.6928%	7528	7528
79	0.0629s	82.7082%	7480	7480
80	0.0543s	82.7212%	7482	7482
81	0.0620s	82.7314%	7516	7516
82	0.0674s	82.7435%	7555	7555
83	0.0546s	82.7577%	7595	7595
84	0.0608s	82.7746%	7535	7535
85	0.0532s	82.7935%	7422	7422
86	0.0530s	82.8120%	7396	7396
87	0.0532s	82.8306%	7340	7340
88	0.0601s	82.8495%	7273	7273
89	0.0570s	82.8687%	7212	7212
90	0.0552s	82.8886%	7138	7138
91	0.0625s	82.9094%	7098	7098
92	0.0699s	82.9306%	7096	7096
93	0.0666s	82.9524%	7054	7054
94	0.0656s	82.9743%	7128	7128
95	0.0645s	82.9951%	7231	7231
96	0.0594s	83.0104%	7738	7738
97	0.0610s	83.0161%	8624	8624
98	0.0654s	83.0156%	9027	9027
99	0.0664s	83.0001%	9678	9678
100	0.0746s	82.9788%	9857	9857
101	0.0665s	82.9479%	10330	10330
102	0.0721s	82.9082%	10995	10995
103	0.0690s	82.8684%	10997	10997
104	0.0725s	82.8280%	11099	11099
105	0.0707s	82.7902%	10861	10861
106	0.0641s	82.7499%	10933	10933
107	0.0677s	82.7024%	11135	11135
108	0.0717s	82.6533%	11064	11064
109	0.0688s	82.5925%	11588	11588
110	0.0640s	82.5296%	11666	11666
111	0.0773s	82.4595%	12256	12256
112	0.0775s	82.3765%	12845	12845
113	0.0661s	82.2934%	12902	12902
114	0.0754s	82.2124%	13059	13059
115	0.0828s	82.1336%	12957	12957
116	0.0893s	82.0485%	13190	13190
117	0.0796s	81.9647%	13185	13185
118	0.0723s	81.8853%	13072	13072
119	0.0806s	81.8152%	12861	12861
120	0.0726s	81.7520%	12473	12473
121	0.0823s	81.6952%	12188	12188
122	0.0765s	81.6338%	12270	12270
123	0.0786s	81.5744%	12084	12084
124	0.0747s	81.5226%	11829	11829
125	0.0920s	81.4764%	11524	11524
126	0.0820s	81.4294%	11599	11599
127	16.1470s	85.5416%	8201	27830
128	0.0909s	85.7458%	7915	7915
129	0.0770s	85.7969%	7769	7769
130	0.0958s	85.8483%	7675	7675
131	0.0831s	85.8996%	7608	7608
132	0.0786s	85.9503%	7557	7557
133	0.0799s	86.0004%	7514	7514
134	0.0805s	86.0497%	7479	7479
135	0.0916s	86.0983%	7448	7448
136	0.0821s	86.1456%	7452	7452
137	0.0804s	86.1913%	7485	7485
138	0.0986s	86.2360%	7480	7480
139	0.1330s	86.2792%	7507	7507
140	0.1008s	86.3216%	7492	7492
141	0.0824s	86.3634%	7472	7472
142	0.1037s	86.4039%	7513	7513
143	0.0890s	86.4432%	7534	7534
144	0.1002s	86.4816%	7559	7559
145	0.0917s	86.5182%	7626	7626
146	0.0893s	86.5510%	7858	7858
147	0.0912s	86.5829%	7858	7858
148	0.0859s	86.6143%	7851	7851
149	0.0982s	86.6440%	7915	7915
150	0.0938s	86.6727%	7948	7948
151	0.0891s	86.6989%	8085	8085
152	0.0862s	86.7191%	8511	8511
153	0.0972s	86.7336%	8903	8903
154	0.0935s	86.7412%	9398	9398
155	0.0923s	86.7499%	9322	9322
156	0.0944s	86.7603%	9192	9192
157	0.0864s	86.7710%	9172	9172
158	0.0935s	86.7802%	9267	9267
159	0.0861s	86.7848%	9606	9606
160	0.1046s	86.7877%	9718	9718
161	0.1092s	86.7889%	9846	9846
162	0.0908s	86.7892%	9928	9928
163	0.0885s	86.7897%	9909	9909
164	0.0956s	86.7909%	9871	9871
165	0.1052s	86.7929%	9817	9817
166	0.0999s	86.7986%	9548	9548
167	0.0992s	86.8078%	9294	9294
168	0.1003s	86.8178%	9218	9218
169	0.0905s	86.8288%	9122	9122
170	0.1008s	86.8403%	9065	9065
171	0.0979s	86.8518%	9035	9035
172	0.1065s	86.8631%	9039	9039
173	0.0987s	86.8743%	9019	9019
174	0.1072s	86.8855%	8995	8995
175	0.0981s	86.8966%	8972	8972
176	0.1097s	86.9080%	8937	8937
177	0.1035s	86.9195%	8893	8893
178	0.1051s	86.9312%	8861	8861
179	0.1143s	86.9430%	8826	8826
180	0.1037s	86.9549%	8794	8794
181	0.1093s	86.9669%	8761	8761
182	0.1060s	86.9789%	8738	8738
183	0.1118s	86.9910%	8715	8715
184	0.1038s	87.0029%	8698	8698
185	0.0990s	87.0149%	8677	8677
186	0.1038s	87.0267%	8668	8668
187	0.1039s	87.0383%	8672	8672
188	0.1132s	87.0499%	8651	8651
189	0.1108s	87.0612%	8656	8656
190	0.1052s	87.0723%	8649	8649
191	0.1040s	87.0833%	8647	8647
192	0.1058s	87.0942%	8635	8635
193	0.1031s	87.1050%	8619	8619
194	0.1180s	87.1157%	8616	8616
195	0.1070s	87.1262%	8606	8606
196	16.7872s	87.8470%	15052	19263
197	0.1072s	87.9018%	14758	14758
198	0.1286s	87.8342%	14518	14518
199	0.1207s	87.7706%	14313	14313
200	0.1319s	87.7107%	14133	14133
201	0.1153s	87.6547%	13945	13945
202	0.1059s	87.6031%	13755	13755
203	0.1215s	87.5549%	13599	13599
204	0.1085s	87.5093%	13490	13490
205	0.1077s	87.4664%	13346	13346
