186	0.0069s	93.3513%	5119	5119
187	0.0069s	93.3341%	5161	5161
188	0.0067s	93.3186%	5162	5162
189	0.0066s	93.2959%	5217	5217
190	0.0101s	93.2763%	5221	5221
191	0.0076s	93.2532%	5268	5268
192	0.0069s	93.2247%	5338	5338
193	0.0076s	93.1990%	5352	5352
194	0.0073s	93.1682%	5434	5434
195	0.0084s	93.1430%	5424	5424
196	0.0073s	90.3878%	19584	19584
197	0.0069s	89.0464%	17227	17227
198	0.0067s	88.1750%	16233	16233
199	0.0075s	87.5274%	15720	15720
200	0.0088s	87.0171%	15358	15358
201	0.0088s	86.6049%	15060	15060
202	0.0079s	86.2762%	14761	14761
203	0.0093s	86.0110%	14498	14498
204	0.0085s	85.7928%	14301	14301
205	0.0100s	85.6127%	14077	14077
